,1700,1920
AS,0.0,1423.0
Aa,4514.0,0.0
Aand,3487.0,0.0
Aar,14209.0,0.0
Aaret,1774.0,0.0
Af,6513.0,0.0
Amt,2350.0,0.0
Anden,1930.0,0.0
Andet,2599.0,0.0
Anledning,3737.0,0.0
Anne,0.0,2208.0
Ansigt,2672.0,0.0
Antal,1982.0,0.0
Antall,0.0,1357.0
Anton,2102.0,0.0
April,2420.0,0.0
Arbeide,3459.0,0.0
Arbeider,2320.0,0.0
Arne,0.0,2254.0
Art,1756.0,0.0
August,3530.0,0.0
Av,0.0,4360.0
Bare,0.0,2368.0
Bergens,2295.0,0.0
Betydning,1970.0,0.0
Bi,2635.0,0.0
Bis,2293.0,0.0
Bl,2410.0,0.0
Blik,1958.0,0.0
Blod,2504.0,0.0
Bom,0.0,1395.0
Brev,1943.0,0.0
Bruk,0.0,2374.0
Bs,2255.0,0.0
Bu,1828.0,0.0
Bud,1918.0,0.0
Byen,2529.0,0.0
Både,0.0,1371.0
CD,0.0,1449.0
CM,0.0,2311.0
CO,0.0,2274.0
Carl,2184.0,0.0
Chr,2713.0,0.0
Christi,3398.0,0.0
Christian,1976.0,0.0
Christiania,2521.0,0.0
Christus,6634.0,0.0
Ci,1731.0,0.0
Co,2307.0,0.0
Cs,2849.0,0.0
Dag,8730.0,0.0
Dage,5523.0,0.0
Dagen,2434.0,0.0
Dagsnytt,0.0,2153.0
David,1882.0,0.0
Dei,0.0,1306.0
Del,8623.0,0.0
Dele,1765.0,0.0
Departementet,2358.0,0.0
Dessuten,0.0,1709.0
Dg,10579.0,0.0
Di,4838.0,0.0
Die,1868.0,0.0
Dig,4140.0,0.0
Do,6016.0,0.0
Dog,2267.0,0.0
Dom,4538.0,0.0
Ds,1998.0,0.0
Eder,8511.0,0.0
Eders,4202.0,0.0
Efter,6719.0,0.0
Einar,0.0,1739.0
Eller,0.0,1548.0
Ende,1879.0,0.0
England,2214.0,0.0
Enhver,2454.0,0.0
Enke,3567.0,0.0
Erling,0.0,1627.0
Etter,0.0,7074.0
Evangeliet,2490.0,0.0
Evangelium,1935.0,0.0
Fader,4260.0,0.0
Faderen,2139.0,0.0
Figur,0.0,1984.0
Finland,0.0,1484.0
Finn,0.0,1314.0
Folk,7629.0,0.0
Folket,2551.0,0.0
Forbindelse,1717.0,0.0
Forhold,3251.0,0.0
Form,2104.0,0.0
Forslag,2206.0,0.0
Fred,3227.0,0.0
Fredrik,2113.0,0.0
Fru,2794.0,0.0
Frøken,2185.0,0.0
Før,0.0,1580.0
Først,0.0,1525.0
Gade,5336.0,0.0
Gang,6755.0,0.0
Gange,3025.0,0.0
Gd,2283.0,0.0
Gjerning,2141.0,0.0
Gjerninger,3015.0,0.0
Grad,1918.0,0.0
Grund,6258.0,0.0
Gunnar,0.0,2018.0
Haab,1801.0,0.0
Haakon,1881.0,0.0
Haand,5716.0,0.0
Haanden,1772.0,0.0
Harald,0.0,2968.0
Hele,1935.0,0.0
Henrik,1925.0,0.0
Henry,0.0,1824.0
Henseende,1861.0,0.0
Hensyn,4256.0,0.0
Herre,6411.0,0.0
Herren,7799.0,0.0
Herrens,3417.0,0.0
Himmelen,2164.0,0.0
Historie,2318.0,0.0
Hjerte,5749.0,0.0
Hjertet,2148.0,0.0
Hoved,1903.0,0.0
Hovedet,1734.0,0.0
Hus,2788.0,0.0
Hustru,1878.0,0.0
Hva,0.0,8260.0
Hvad,9732.0,0.0
Hvem,0.0,1591.0
Hvordan,0.0,2885.0
Hvorledes,1767.0,0.0
Håkon,0.0,1711.0
Høyesterett,0.0,1300.0
III,3385.0,0.0
Ijan,1977.0,0.0
Intet,3703.0,0.0
Iste,4267.0,0.0
Januar,1920.0,0.0
Jesu,3983.0,0.0
Joh,3980.0,0.0
Johansen,2124.0,0.0
Jorden,4216.0,0.0
Juli,3350.0,0.0
Juni,3095.0,0.0
Kanskje,0.0,2588.0
Kapittel,0.0,1610.0
Karen,0.0,1649.0
Kirke,2564.0,0.0
Kirken,1844.0,0.0
Kjærlighed,2149.0,0.0
Kl,2334.0,0.0
Knut,0.0,2070.0
Kom,1891.0,0.0
